PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
EMBOLIZAÇÃO DE ARTÉRIA RENAL PARA NEFRECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO DE ARTÉRIA UTERINA (COM DIRETRIZ DE UTILIZAÇÃO),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,23,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO DE FÍSTULA ARTERIOVENOSA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO DE HEMORRAGIA DIGESTIVA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIOVENOSA CEREBRAL OU MEDULAR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO DE MALFORMAÇÃO VASCULAR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO DE PSEUDOANEURISMA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO DE RAMO PORTAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO DE RAMOS HIPOGÁSTRICOS PARA TRATAMENTO DE SANGRAMENTO GINECOLÓGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO DE TUMOR - QUALQUER LOCALIZAÇÃO (EXCETO PARA ARTÉRIA UTERINA),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO DE VARIZES ESOFAGIANAS OU GÁSTRICAS,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO DE VEIA ESPERMÁTICA PARA TRATAMENTO DE VARICOCELE,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO ESPLÊNICA PARA TRATAMENTO DE HIPERESPLENISMO OU OUTRA SITUAÇÃO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO PARA TRATAMENTO DE EPISTAXE,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontologia,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
EMBOLIZAÇÃO PARA TRATAMENTO DE IMPOTÊNCIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO PULMONAR PARA TRATAMENTO DE FÍSTULA ARTERIOVENOSA OU OUTRA SITUAÇÃO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EMBOLIZAÇÃO SELETIVA DE FÍSTULA OU ANEURISMA RENAL PARA TRATAMENTO DE HEMATÚRIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ESCLEROSE PERCUTÂNEA DE CISTO PANCREÁTICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ESCLEROSE PERCUTÂNEA DE MALFORMAÇÕES VENOSAS,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"ESCLEROSE PERCUTÂNEA DE NÓDULOS BENIGNOS DIRIGIDA OU NÃO POR RX, US, TC, RM",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"EXÉRESE PERCUTÂNEA DE TUMOR ORIENTADA POR RX, US, TC OU RM",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
GASTROSTOMIA PERCUTÂNEA ORIENTADA POR RX OU TC,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"IMPLANTE DE ENDOPRÓTESE EM ANEURISMA OU DISSECÇÃO DE AORTA ABDOMINAL OU TORÁCICA COM
STENT REVESTIDO (STENT-GRAFT)",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
LITOTRIPSIA MECÂNICA DE CÁLCULOS RENAIS ORIENTADA POR RX OU US,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
MANIPULAÇÃO DE DRENOS PÓS-DRENAGEM ORIENTADA OU NÃO POR IMAGEM,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"NEFROSTOMIA PERCUTÂNEA ORIENTADA POR RX, US, TC OU RM",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
OSTEOPLASTIA OU DISCECTOMIA PERCUTÂNEA (VERTEBROPLASTIA),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PARACENTESE ORIENTADA POR RX OU US,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PIELOGRAFIA PERCUTÂNEA ORIENTADA POR MÉTODOS DE IMAGEM,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PUNÇÃO ASPIRATIVA OU BIÓPSIA ORIENTADA POR IMAGEM,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
QUIMIOEMBOLIZAÇÃO PARA TRATAMENTO DE TUMOR HEPÁTICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
QUIMIOTERAPIA POR CATETER,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
QUIMIOTERAPIA SISTÊMICA,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontologia,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
QUIMIOTERAPIA SISTÊMICA COM ISOLAMENTO PROTETOR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RADIOEMBOLIZAÇÃO HEPÁTICA (COM DIRETRIZ DE UTILIZAÇÃO),542/2022,01/09/2022,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,155,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
REPERMEABILIZAÇÃO/RECANALIZAÇÃO TUBÁRIA - EXCETO PARA REVERSÃO DE LAQUEADURA TUBÁRIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RECANALIZAÇÃO TUBÁRIA LAPAROSCÓPICA - EXCETO PARA REVERSÃO DE LAQUEADURA TUBÁRIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"RETIRADA PERCUTÂNEA DE CÁLCULOS BILIARES ORIENTADA POR RX, US OU TC",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"RETIRADA PERCUTÂNEA DE CÁLCULOS RENAIS ORIENTADA POR RX, US OU TC",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
RETIRADA PERCUTÂNEA DE CORPO ESTRANHO INTRAVASCULAR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
SINUSOGRAFIA (ABSCESSOGRAFIA),,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TIPS - ANASTOMOSE PORTO-CAVA PERCUTÂNEA PARA TRATAMENTO DE HIPERTENSÃO PORTAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TRAQUEOTOMIA PERCUTÂNEA ORIENTADA POR RX OU TC,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TRATAMENTO DO VASOESPASMO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TROMBECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
TROMBÓLISE MEDICAMENTOSA ARTERIAL OU VENOSA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,,"MÉTODOS INTERVENCIONISTAS
DIAGNÓSTICOS E TERAPÊUTICOS POR
IMAGEM",MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO ARTERIAL DE MEMBROS INFERIORES,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO ARTERIAL DE MEMBROS SUPERIORES,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE AORTA E ARTÉRIAS RENAIS,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE AORTA E ILÍACAS,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE ARTÉRIAS VISCERAIS (MESENTÉRICAS SUPERIOR E INFERIOR E TRONCO CELÍACO),,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE HEMANGIOMA,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontologia,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
DOPPLER COLORIDO DE ÓRGÃOS OU ESTRUTURAS (INCLUI CORAÇÃO),,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE VASOS CERVICAIS ARTERIAIS (CARÓTIDAS E VERTEBRAIS),,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE VASOS CERVICAIS VENOSOS (SUBCLÁVIAS E JUGULARES),,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE VEIA CAVA SUPERIOR OU INFERIOR,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO PENIANO COM OU SEM FÁRMACO-INDUÇÃO,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO TRANSCRANIANO OU TRANSFONTANELA,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO VENOSO DE MEMBROS INFERIORES,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO VENOSO DE MEMBROS SUPERIORES,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DUPLEX SCAN VASCULAR PERIFÉRICO,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DOPPLER COLORIDO DE ARTÉRIAS PENIANAS,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ULTRASSONOGRAFIA DIAGNÓSTICA,MÉTODOS DIAGNÓSTICOS POR IMAGEM,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
